formula,temperature_k,source_reference,temperature_band,is_feasible,absS_uV_per_K,electrical_conductivity_S_per_m,log10_sigma,thermal_conductivity_W_per_mK,power_factor_W_per_mK2,ZT,feat_mean_atomic_number,feat_mean_atomic_volume,feat_mean_atomic_weight,feat_std_atomic_number,feat_std_atomic_volume,feat_std_atomic_weight,feat_max_atomic_number,feat_max_atomic_volume,feat_max_atomic_weight,feat_min_atomic_number,feat_min_atomic_volume,feat_min_atomic_weight,feat_temperature_norm,obj_absS_scaled,obj_log10_sigma_scaled,obj_neg_kappa_scaled,con_zt_slack,con_pf_slack
(Ag0.05Sb0.05Sn0.9)(S0.05Se0.05Te0.9),303.0,https://doi.org/10.1021/acsaem.1c02448,mid,0,49.31,273832.0,5.4374841984048485,3.392,0.0006658159634152001,0.05947589531686487,49.6,18.054783395870295,119.35598,12.970050972229146,3.111214553158315,33.359137730662844,52.0,20.47496790757381,127.6,16.0,10.273161904761904,32.06,0.009999999999999966,0.04594825946357234,0.9296937133426669,0.9509523106451949,0.7405241046831352,0.0005341840365847998
(Ag0.05Sb0.05Sn0.9)(S0.05Se0.05Te0.9),434.0,https://doi.org/10.1021/acsaem.1c02448,mid,0,68.32,201869.0,5.3050696316597445,3.176,0.0009422482662655999,0.12875810691412792,49.6,18.054783395870295,119.35598,12.970050972229146,3.111214553158315,33.359137730662844,52.0,20.47496790757381,127.6,16.0,10.273161904761904,32.06,0.44666666666666516,0.06402891382918008,0.9157174959675191,0.954141443968685,0.6712418930858721,0.0002577517337344
(Ag0.05Sb0.05Sn0.9)(S0.05Se0.05Te0.9),594.0,https://doi.org/10.1021/acsaem.1c02448,mid,0,106.93,137383.0,5.1379329957296,2.5,0.0015708406428367,0.3732317367379999,49.6,18.054783395870295,119.35598,12.970050972229146,3.111214553158315,33.359137730662844,52.0,20.47496790757381,127.6,16.0,10.273161904761904,32.06,0.9799999999999967,0.10075137911356277,0.8980764009389997,0.9641222501107195,0.4267682632620001,-0.0003708406428367002
(Ag0.15Sb0.15Sn0.7)(S0.15Se0.15Te0.7),303.0,https://doi.org/10.1021/acsaem.1c02448,mid,0,77.03,81308.0,4.910133278495993,1.2703,0.0004824508481372,0.11507723135131198,46.8,17.398727689670668,111.75793999999999,12.970050972229146,3.111214553158315,33.359137730662844,52.0,20.47496790757381,127.6,16.0,10.273161904761904,32.06,0.009999999999999966,0.0723131063344112,0.8740323818834314,0.9822781632954232,0.6849227686486881,0.0007175491518628
(Ag0.15Sb0.15Sn0.7)(S0.15Se0.15Te0.7),432.0,https://doi.org/10.1021/acsaem.1c02448,mid,0,113.1,64206.0,4.80757561444166,1.189,0.00082129811166,0.29840267807999993,46.8,17.398727689670668,111.75793999999999,12.970050972229146,3.111214553158315,33.359137730662844,52.0,20.47496790757381,127.6,16.0,10.273161904761904,32.06,0.4399999999999985,0.10661974510176896,0.8632075289873754,0.9834785176435702,0.5015973219200001,0.0003787018883399999
(Ag0.15Sb0.15Sn0.7)(S0.15Se0.15Te0.7),593.0,https://doi.org/10.1021/acsaem.1c02448,mid,0,138.02,53271.0,4.726490849411179,1.0676,0.0010147870012284,0.5636649416714512,46.8,17.398727689670668,111.75793999999999,12.970050972229146,3.111214553158315,33.359137730662844,52.0,20.47496790757381,127.6,16.0,10.273161904761904,32.06,0.9766666666666634,0.13032147612706857,0.8546491178568215,0.9852709286874208,0.23633505832854884,0.00018521299877159985
(Ag0.1Sb0.1Sn0.8)(S0.1Se0.1Te0.8),303.0,https://doi.org/10.1021/acsaem.1c02448,mid,0,60.79,145794.0,5.163739651413303,1.811,0.0005387706612353999,0.09014219235468039,48.2,17.726755542770483,115.55696,12.970050972229146,3.111214553158315,33.359137730662844,52.0,20.47496790757381,127.6,16.0,10.273161904761904,32.06,0.009999999999999966,0.056867034430283375,0.9008002661331918,0.9742949948324086,0.7098578076453197,0.0006612293387646
(Ag0.1Sb0.1Sn0.8)(S0.1Se0.1Te0.8),434.0,https://doi.org/10.1021/acsaem.1c02448,mid,0,98.02,112150.0,5.049799277918987,1.7027,0.00107752827286,0.27465042016869673,48.2,17.726755542770483,115.55696,12.970050972229146,3.111214553158315,33.359137730662844,52.0,20.47496790757381,127.6,16.0,10.273161904761904,32.06,0.44666666666666516,0.09227696404793599,0.8887739803029663,0.9758939908459917,0.5253495798313033,0.00012247172713999999
(Ag0.1Sb0.1Sn0.8)(S0.1Se0.1Te0.8),593.0,https://doi.org/10.1021/acsaem.1c02448,mid,0,129.9,82710.0,4.917558020825436,1.392,0.0013956493671,0.5945546513579743,48.2,17.726755542770483,115.55696,12.970050972229146,3.111214553158315,33.359137730662844,52.0,20.47496790757381,127.6,16.0,10.273161904761904,32.06,0.9766666666666634,0.12259844017500464,0.8748160555781127,0.9804813228997346,0.2054453486420258,-0.00019564936710000013
(Bi0.23Sb0.77)2Te3,300.0,https://doi.org/10.1021/acsaem.1c01830,mid,1,229.0,54942.0,4.739904464570426,0.885,0.002881213422,0.9766825159322035,54.544000000000004,19.862925332752955,133.28827679999998,14.854853303438128,1.3138942675515406,39.81104436420739,83.0,21.346312563840655,208.9804,51.0,18.227544910179642,121.76,0.0,0.21685371885105553,0.8560649107401912,0.9879669275062603,-0.1766825159322034,-0.0016812134220000002
